FIPS,cases,deaths
11001,146520,1342.0
12001,69987,665.0
12003,8744,142.0
12005,46217,827.0
12007,7578,150.0
12009,138165,2100.0
12011,627366,5852.0
12013,4127,98.0
12015,37153,812.0
12017,30414,976.0
12019,54232,856.0
12021,86532,1000.0
12023,21288,402.0
12027,9510,150.0
12029,4056,70.0
12031,257954,3410.0
12033,78587,1311.0
12035,23008,359.0
12037,3097,52.0
12039,13573,207.0
12041,4579,93.0
12043,2007,36.0
12045,4306,79.0
12047,3868,56.0
12049,8742,124.0
12051,11844,160.0
12053,42955,1095.0
12055,24518,686.0
12057,385429,3793.0
12059,5446,87.0
12061,33736,654.0
12063,14927,280.0
12065,3982,61.0
12067,2781,61.0
12069,87622,1501.0
12071,195012,2158.0
12073,86837,663.0
12075,10333,169.0
12077,2528,30.0
12079,5881,97.0
12081,98496,1434.0
12083,84833,2105.0
12085,31455,616.0
12086,1235510,10921.0
12087,18705,119.0
12089,22194,294.0
12091,51966,688.0
12093,10700,183.0
12095,389751,2835.0
12097,117211,1147.0
12099,382945,5059.0
12101,125977,1900.0
12103,216676,3356.0
12105,205295,2991.0
12107,17754,424.0
12113,48905,621.0
12115,93361,1620.0
12117,106994,1096.0
12109,64013,567.0
12111,76157,1221.0
12119,22767,576.0
12121,13028,315.0
12123,7032,101.0
12125,4331,116.0
12127,119858,1988.0
12129,10057,125.0
12131,16689,210.0
12133,6664,110.0
13001,4838,128.0
13003,2219,50.0
13005,3799,78.0
13007,538,15.0
13009,9593,240.0
13011,4001,94.0
13013,22045,256.0
13015,29652,448.0
13017,4346,122.0
13019,4961,83.0
13021,37793,790.0
13023,3355,100.0
13025,4178,109.0
13027,3433,87.0
13029,9245,91.0
13031,15450,264.0
13033,5331,111.0
13035,6567,158.0
13037,1362,22.0
13039,11483,120.0
13043,2194,96.0
13045,23910,461.0
13047,14903,168.0
13049,3065,62.0
13051,64670,889.0
13053,7487,22.0
13055,6700,134.0
13057,64029,632.0
13059,29982,234.0
13061,533,6.0
13063,64897,977.0
13065,2123,42.0
13067,177875,1826.0
13069,10709,281.0
13071,11770,246.0
13073,36490,390.0
13075,4919,75.0
13077,33473,491.0
13079,1783,55.0
13081,4685,137.0
13083,3420,29.0
13085,6987,101.0
13089,154626,1749.0
13087,7269,131.0
13091,5249,154.0
13093,2386,69.0
13095,19930,500.0
13097,35289,405.0
13099,2777,62.0
13101,940,12.0
13103,13348,196.0
13105,4564,109.0
13107,5922,160.0
13109,2373,65.0
13111,5144,161.0
13113,22997,321.0
13115,27543,520.0
13117,56498,402.0
13119,5418,104.0
13121,224280,2350.0
13123,6971,179.0
13125,613,25.0
13127,23461,405.0
13129,16852,270.0
13131,5800,113.0
13133,4001,85.0
13135,211446,1891.0
13137,10198,264.0
13139,54710,845.0
13141,1592,90.0
13143,5458,175.0
13145,6107,113.0
13147,4905,100.0
13149,2183,54.0
13151,58610,688.0
13153,40007,501.0
13155,1926,51.0
13157,21257,292.0
13159,3161,73.0
13161,3950,73.0
13163,3676,113.0
13165,1505,66.0
13167,2260,73.0
13169,5090,109.0
13171,4875,113.0
13173,2284,24.0
13175,13850,300.0
13177,7409,103.0
13179,12477,149.0
13181,1601,35.0
13183,2813,35.0
13185,31250,392.0
13187,7271,132.0
13193,2151,50.0
13195,6963,110.0
13197,1520,51.0
13189,5114,98.0
13191,2481,37.0
13199,4495,145.0
13201,1724,30.0
13205,5263,117.0
13207,5956,174.0
13209,2085,53.0
13211,4717,70.0
13213,11565,190.0
13215,38398,826.0
13217,24911,457.0
13219,8846,106.0
13221,3264,58.0
13223,38574,434.0
13225,6284,134.0
13227,8410,169.0
13229,5701,130.0
13231,5484,98.0
13233,11922,193.0
13235,2186,78.0
13237,4538,106.0
13239,425,4.0
13241,3699,99.0
13243,1493,48.0
13245,50741,897.0
13247,18807,324.0
13249,1177,11.0
13251,2663,70.0
13253,2175,30.0
13255,16018,421.0
13257,6345,159.0
13259,2641,35.0
13261,6854,170.0
13263,1173,32.0
13265,268,3.0
13267,5121,131.0
13269,2007,54.0
13271,3118,85.0
13273,2059,67.0
13275,12092,210.0
13277,11605,218.0
13279,7122,202.0
13281,2401,116.0
13283,1638,61.0
13285,15524,379.0
13287,2576,61.0
13289,1552,70.0
13291,4895,159.0
13293,7810,235.0
13295,17265,245.0
13297,22056,435.0
13299,10168,281.0
13301,1066,30.0
13303,4424,137.0
13305,7820,205.0
13307,441,8.0
13309,1414,39.0
13311,6865,164.0
13313,34147,439.0
13315,2015,71.0
13317,2250,53.0
13319,2257,57.0
13321,4681,119.0
15001,29275,192.0
15003,183391,1072.0
15005,1,0.0
15007,13324,29.0
15009,32790,141.0
16001,135910,1022.0
16003,705,15.0
16005,20961,248.0
16007,937,16.0
16009,2406,41.0
16011,9858,155.0
16013,6088,30.0
16015,1103,14.0
16017,8964,188.0
16019,30987,286.0
16021,2114,62.0
16023,477,9.0
16025,158,2.0
16027,61813,686.0
16029,1496,28.0
16031,5040,52.0
16033,109,1.0
16035,2324,33.0
16037,534,9.0
16039,7299,70.0
16041,2337,29.0
16043,2163,28.0
16045,3687,79.0
16047,3303,55.0
16049,3005,52.0
16051,6050,65.0
16053,6113,65.0
16055,42235,594.0
16057,6845,49.0
16059,1266,25.0
16061,1137,29.0
16063,1107,15.0
16065,12691,50.0
16067,4239,64.0
16069,9003,148.0
16071,809,11.0
16073,2282,53.0
16075,5596,87.0
16077,1498,20.0
16079,2749,76.0
16081,2726,9.0
16083,24177,296.0
16085,2665,16.0
16087,2398,57.0
17001,22593,239.0
17003,1299,15.0
17005,4395,37.0
17007,14304,130.0
17009,2440,21.0
17011,8489,140.0
17013,1546,8.0
17015,4326,49.0
17017,4649,44.0
17019,67830,296.0
17021,10382,131.0
17023,4909,60.0
17025,4766,74.0
17027,12112,122.0
17029,15573,175.0
17031,1211998,14956.0
17033,6272,61.0
17035,3386,49.0
17039,4455,46.0
17037,24944,204.0
17041,6627,61.0
17043,228409,1809.0
17045,5230,79.0
17047,1754,29.0
17049,10729,150.0
17051,7169,104.0
17053,4522,75.0
17055,12297,178.0
17057,10323,135.0
17059,1423,18.0
17061,3679,58.0
17063,13136,140.0
17065,2186,34.0
17067,4434,58.0
17069,1061,20.0
17071,1179,28.0
17073,12990,150.0
17075,7342,118.0
17077,15973,131.0
17079,2693,33.0
17081,11179,176.0
17083,6347,91.0
17085,4138,39.0
17087,4552,46.0
17089,133371,1180.0
17091,29590,374.0
17093,33053,171.0
17095,12817,246.0
17099,30049,442.0
17097,162077,1470.0
17101,5497,52.0
17103,9103,118.0
17105,11006,148.0
17107,10083,100.0
17115,31335,355.0
17117,13048,171.0
17119,72180,866.0
17121,11953,217.0
17123,2823,33.0
17125,4013,61.0
17127,3900,71.0
17109,7338,105.0
17111,80178,511.0
17113,52978,331.0
17129,3588,24.0
17131,4137,47.0
17133,9665,129.0
17135,9901,111.0
17137,9718,144.0
17139,4111,52.0
17141,14379,136.0
17143,48506,555.0
17145,7525,106.0
17147,4604,29.0
17149,5054,70.0
17151,963,8.0
17153,1735,20.0
17155,1175,10.0
17157,10587,133.0
17159,5176,83.0
17161,34092,527.0
17165,7958,112.0
17167,57416,433.0
17169,1992,29.0
17171,1284,12.0
17173,6280,80.0
17163,71158,776.0
17175,1544,33.0
17177,11823,176.0
17179,38080,502.0
17181,5442,69.0
17183,28410,313.0
17185,3742,31.0
17187,4131,87.0
17189,3465,41.0
17191,5332,85.0
17193,4414,59.0
17195,15937,268.0
17197,171761,1618.0
17199,22958,263.0
17201,80104,856.0
17203,10652,124.0
18001,7297,112.0
18003,105135,1190.0
18005,21698,250.0
18007,2515,21.0
18009,3130,69.0
18011,15529,186.0
18013,2615,62.0
18015,4279,69.0
18017,11734,164.0
18019,31786,396.0
18021,6869,88.0
18023,9283,127.0
18025,2566,40.0
18027,7509,154.0
18033,11452,153.0
18029,13604,141.0
18031,7055,147.0
18035,25248,445.0
18037,12925,165.0
18039,54508,736.0
18041,6765,146.0
18043,19305,303.0
18045,5515,104.0
18047,4404,65.0
18049,4940,103.0
18051,11779,144.0
18053,17419,356.0
18055,7299,139.0
18057,84060,663.0
18059,20992,260.0
18061,10934,140.0
18063,41285,554.0
18065,13090,231.0
18067,25644,449.0
18069,11625,157.0
18071,12589,131.0
18073,9219,149.0
18075,4871,78.0
18077,9399,161.0
18079,7007,109.0
18081,43006,615.0
18083,10825,153.0
18085,19916,237.0
18087,5876,102.0
18091,26108,369.0
18089,109555,1840.0
18093,12103,262.0
18095,33000,655.0
18097,228530,3001.0
18099,12462,197.0
18101,2178,25.0
18103,9313,159.0
18105,29088,281.0
18107,10774,165.0
18109,16688,287.0
18111,2606,68.0
18113,13175,158.0
18115,1460,19.0
18117,5068,96.0
18119,5960,121.0
18121,3619,46.0
18123,4688,69.0
18125,3771,50.0
18127,38960,565.0
18129,6601,58.0
18131,3093,86.0
18133,9461,129.0
18135,5925,148.0
18137,8381,138.0
18139,4883,58.0
18143,7965,106.0
18145,13698,182.0
18147,5262,61.0
18141,72216,875.0
18149,4796,99.0
18151,9733,121.0
18153,5313,76.0
18155,2320,20.0
18157,52142,397.0
18159,3548,87.0
18161,2032,21.0
18163,58054,642.0
18165,4146,76.0
18167,29160,416.0
18169,8786,157.0
18171,2113,30.0
18173,20495,239.0
18175,6017,85.0
18177,18962,337.0
18179,6522,132.0
18181,6968,97.0
18183,9778,84.0
19001,1590,50.0
19003,823,14.0
19005,2897,60.0
19007,2935,68.0
19009,1116,20.0
19011,6129,77.0
19013,33308,481.0
19015,5547,54.0
19017,5589,82.0
19019,4650,58.0
19021,6404,58.0
19023,3263,53.0
19025,2610,25.0
19027,4966,66.0
19029,2964,78.0
19031,4232,35.0
19033,11191,170.0
19035,2988,62.0
19037,2707,32.0
19039,2282,37.0
19041,4130,44.0
19043,3518,73.0
19045,11693,146.0
19047,4543,54.0
19049,23452,145.0
19051,1606,33.0
19053,1521,26.0
19055,4067,68.0
19057,9231,139.0
19059,4148,72.0
19061,26449,297.0
19063,2373,52.0
19065,4145,74.0
19067,3616,62.0
19069,2526,42.0
19071,1388,25.0
19073,1749,21.0
19075,2591,44.0
19077,2379,46.0
19079,3489,73.0
19081,2875,48.0
19083,4156,62.0
19085,3442,95.0
19087,5583,74.0
19089,2081,35.0
19091,2642,38.0
19093,1833,49.0
19095,3730,50.0
19097,4661,69.0
19099,8768,111.0
19101,3522,51.0
19103,36174,153.0
19105,5539,73.0
19107,2090,48.0
19109,3793,88.0
19111,7912,142.0
19113,53524,585.0
19115,2507,62.0
19117,1765,32.0
19119,2750,50.0
19121,3186,40.0
19123,4956,87.0
19125,7605,127.0
19127,9536,112.0
19129,3377,41.0
19131,2522,49.0
19133,1730,48.0
19135,1889,49.0
19137,2218,55.0
19139,9751,131.0
19141,3461,71.0
19143,1394,22.0
19145,3340,46.0
19147,2053,38.0
19149,6339,100.0
19151,1613,27.0
19153,127165,1106.0
19155,24406,319.0
19157,3778,61.0
19159,1135,34.0
19161,2420,33.0
19163,41722,395.0
19165,2726,50.0
19167,7993,87.0
19169,20060,90.0
19171,3945,91.0
19173,1318,22.0
19175,2725,51.0
19177,1384,27.0
19179,9020,205.0
19181,12637,134.0
19183,5693,79.0
19185,1275,33.0
19187,10430,164.0
19189,3000,47.0
19191,3935,50.0
19193,28892,339.0
19195,1783,17.0
19197,3634,63.0
20001,3997,56.0
20003,2138,32.0
20005,4332,35.0
20007,1046,9.0
20009,6508,103.0
20011,4394,56.0
20013,2739,48.0
20015,19128,194.0
20017,674,7.0
20019,846,18.0
20021,6162,86.0
20023,653,14.0
20025,504,8.0
20027,1987,37.0
20029,2221,40.0
20031,2442,44.0
20033,441,17.0
20035,10217,158.0
20037,11995,131.0
20039,621,20.0
20041,4821,83.0
20043,2457,34.0
20045,27670,141.0
20047,557,12.0
20049,571,11.0
20051,7167,85.0
20053,2016,31.0
20055,11549,117.0
20057,10633,116.0
20059,7032,88.0
20061,9279,77.0
20063,791,23.0
20065,575,15.0
20067,2265,36.0
20069,1236,23.0
20071,331,3.0
20073,1807,27.0
20075,464,3.0
20077,1655,28.0
20079,9645,124.0
20081,964,12.0
20083,411,10.0
20085,3912,30.0
20087,4840,64.0
20089,789,15.0
20091,149591,1221.0
20093,1237,21.0
20095,1967,28.0
20097,668,7.0
20099,6637,78.0
20101,296,12.0
20103,19684,192.0
20105,623,11.0
20107,2829,32.0
20109,844,13.0
20111,10144,123.0
20115,3339,43.0
20117,2564,42.0
20113,7944,128.0
20119,1221,21.0
20121,7895,96.0
20123,1431,24.0
20125,9454,161.0
20127,1513,30.0
20129,623,12.0
20131,3246,60.0
20133,5173,67.0
20135,780,19.0
20137,2153,37.0
20139,3955,56.0
20141,804,19.0
20143,1212,21.0
20145,2146,24.0
20147,1359,30.0
20149,5805,59.0
20151,1933,33.0
20153,685,9.0
20155,18653,241.0
20157,1356,19.0
20159,2616,25.0
20161,13740,86.0
20163,1385,20.0
20165,808,18.0
20167,1883,38.0
20169,14183,248.0
20171,1280,34.0
20173,145703,1450.0
20175,6916,61.0
20177,49021,644.0
20179,786,18.0
20181,1514,22.0
20183,646,8.0
20185,1140,26.0
20187,427,9.0
20189,1465,21.0
20191,5731,74.0
20193,2399,28.0
20195,756,10.0
20197,1646,23.0
20199,438,7.0
20201,1409,23.0
20203,493,8.0
20205,2832,48.0
20207,796,16.0
20209,47484,508.0
21001,5933,107.0
21003,6622,108.0
21005,6647,71.0
21007,1403,30.0
21009,13049,221.0
21011,3218,48.0
21013,8877,150.0
21015,40261,299.0
21017,6031,60.0
21019,16447,178.0
21021,8509,133.0
21023,2196,26.0
21025,3814,54.0
21027,5204,79.0
21029,21951,225.0
21031,3875,54.0
21033,4164,61.0
21035,8477,94.0
21037,25270,181.0
21039,1081,20.0
21041,3506,45.0
21043,8702,107.0
21045,4223,75.0
21047,16381,211.0
21049,10805,70.0
21051,7872,92.0
21053,3680,52.0
21055,2298,50.0
21057,2241,33.0
21059,31238,391.0
21061,2563,47.0
21063,2601,19.0
21065,4123,50.0
21067,96655,613.0
21069,3977,60.0
21071,12613,211.0
21073,13979,154.0
21075,1220,32.0
21077,2222,51.0
21079,4833,78.0
21081,7888,62.0
21083,11374,181.0
21085,8043,134.0
21087,3762,45.0
21089,12172,147.0
21091,2510,25.0
21093,33089,437.0
21095,9236,211.0
21097,6434,77.0
21099,5436,102.0
21101,14011,168.0
21103,4875,53.0
21105,883,27.0
21107,15004,255.0
21109,4294,81.0
21111,238547,2366.0
21113,15347,141.0
21115,6192,119.0
21117,46503,420.0
21119,4242,64.0
21121,11544,147.0
21123,3751,73.0
21125,20368,244.0
21127,4519,70.0
21129,2955,52.0
21131,3724,49.0
21133,7149,115.0
21135,4537,86.0
21137,6520,137.0
21139,2492,61.0
21141,8378,126.0
21143,2894,35.0
21151,27944,280.0
21153,3959,51.0
21155,6446,85.0
21157,8444,114.0
21159,3318,49.0
21161,5038,106.0
21145,18625,265.0
21147,5730,83.0
21149,2636,53.0
21163,5849,66.0
21165,1722,32.0
21167,7428,106.0
21169,2882,64.0
21171,3628,78.0
21173,8403,108.0
21175,5278,30.0
21177,10213,121.0
21179,14572,153.0
21181,2111,32.0
21183,7324,104.0
21185,18658,145.0
21187,2377,34.0
21189,1575,27.0
21191,3502,39.0
21193,11062,178.0
21195,19160,308.0
21197,4797,44.0
21199,18184,293.0
21201,672,21.0
21203,5072,61.0
21205,6769,69.0
21207,6461,87.0
21209,17828,110.0
21211,13484,162.0
21213,5661,95.0
21215,5409,59.0
21217,9505,125.0
21219,2996,44.0
21221,4030,45.0
21223,2226,40.0
21225,4343,57.0
21227,43199,375.0
21229,3977,62.0
21231,6119,93.0
21233,3923,49.0
21235,14400,200.0
21237,2534,28.0
21239,7037,50.0
22001,15928,294.0
22003,7889,141.0
22005,35135,293.0
22007,5599,70.0
22009,11632,208.0
22011,9289,143.0
22013,3995,111.0
22015,37791,493.0
22017,67728,1157.0
22019,54989,707.0
22021,3626,55.0
22023,1200,8.0
22025,2704,55.0
22027,3281,78.0
22029,5119,89.0
22031,7375,135.0
22033,112312,1348.0
22035,2538,38.0
22037,7327,170.0
22039,8420,160.0
22041,7361,178.0
22043,5871,94.0
22045,19212,263.0
22047,9078,153.0
22049,4412,76.0
22051,116332,1347.0
22053,6957,157.0
22059,4282,61.0
22055,63142,501.0
22057,28021,373.0
22061,12283,144.0
22063,37358,467.0
22065,3267,59.0
22067,6878,134.0
22069,10172,167.0
22071,91651,1110.0
22073,50849,755.0
22075,6575,46.0
22077,6325,93.0
22079,32851,577.0
22081,2115,53.0
22083,6741,98.0
22085,6353,113.0
22087,11528,111.0
22089,14007,145.0
22091,1929,23.0
22093,5840,77.0
22095,10688,184.0
22097,22351,415.0
22099,13051,189.0
22101,12575,263.0
22103,73564,852.0
22105,35028,599.0
22107,989,11.0
22109,31120,419.0
22111,6941,135.0
22113,15373,224.0
22115,9955,191.0
22117,13030,251.0
22119,11215,186.0
22121,7356,90.0
22123,3635,66.0
22125,2842,46.0
22127,4458,64.0
23001,23475,285.0
23003,14694,166.0
23005,53569,367.0
23007,6074,60.0
23009,8125,87.0
23011,25090,241.0
23013,6505,38.0
23015,5650,35.0
23017,11960,148.0
23019,30153,331.0
23021,3142,31.0
23023,5617,33.0
23025,10309,110.0
23027,6573,58.0
23029,4621,57.0
23031,42678,291.0
24001,17402,363.0
24003,94263,1082.0
24005,138364,2490.0
24510,118603,1784.0
24009,11606,146.0
24011,6199,80.0
24013,22501,409.0
24015,16114,259.0
24017,29414,353.0
24019,7901,108.0
24021,47526,525.0
24023,5793,116.0
24025,39943,582.0
24027,47185,378.0
24029,3173,66.0
24031,182185,2048.0
24033,177477,2168.0
24035,7319,110.0
24039,5295,74.0
24037,19553,217.0
24041,5788,88.0
24043,35574,586.0
24045,20206,329.0
24047,8902,160.0
25001,38323,587.0
25003,27033,380.0
25005,156691,2172.0
25007,3630,0.0
25009,217157,2774.0
25011,11607,141.0
25013,141196,1812.0
25015,31596,358.0
25017,359518,4015.0
25019,3497,0.0
25021,143763,1908.0
25023,121604,1690.0
25025,229247,2011.0
25027,204416,2608.0
26001,1753,71.0
26003,1893,13.0
26005,27665,351.0
26007,5854,139.0
26009,4518,67.0
26011,3279,68.0
26013,2234,54.0
26015,14620,170.0
26017,27745,590.0
26019,3554,69.0
26021,35596,564.0
26023,12302,208.0
26025,35246,577.0
26027,11247,145.0
26029,5069,60.0
26031,4854,104.0
26033,11955,120.0
26035,6877,157.0
26037,22236,208.0
26039,2670,31.0
26041,10140,157.0
26043,7536,110.0
26045,27861,403.0
26047,6678,87.0
26049,104674,1723.0
26051,5661,115.0
26053,3328,69.0
26055,18058,237.0
