List
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.0, 37.0, 37.0, 37.0, 0, 0, 28.4, 13.0, 13.0, 13.0, 39.0, 39.0, 39.0, 21.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.0, 38.0, 16.0, 41.0, 41.0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.0, 25.0, 25.0, 25.0, 25.0, 37.0, 37.0, 37.0, 4.0, 37.0, 37.0, 7.0, 7.0, 50.0, 50.0, 50.0, 21.0, 21.0, 21.0, 21.0, 21.0, 77.0, 126.0, 126.0, 101.0, 138.0, 22.0, 22.0, 44.0, 44.0, 15.0, 22.0, 38.0, 38.0, 38.0, 16.0, 41.0, 41.0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307.0, 307.0, 307.0, 51.0, 51.0, 25.0, 25.0, 4.0, 46.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 73.0, 73.0, 73.0, 21.0, 21.0, 21.0, 77.0, 77.0, 77.0, 50.0, 50.0, 266.0, 266.0, 731.4, 731.4, 75.0, 89.0, 89.0, 31.0, 349.0, 349.0, 0, 16.0, 41.0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1602.0, 1602.0, 0, 0, 182.0, 182.0, 51.0, 18.0, 18.0, 21.0, 21.0, 21.0, 21.0, 46.0, 46.0, 46.0, 7.0, 7.0, 7.0, 73.0, 73.0, 73.0, 73.0, 21.0, 21.0, 77.0, 77.0, 77.0, 50.0, 50.0, 266.0, 201.0, 201.0, 676.0, 676.0, 89.0, 89.0, 31.0, 476.0, 476.0, 0, 0, 0, 0, 67.0, 67.0, 95.0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126.0, 126.0, 0, 1381.0, 1381.0, 2043.0, 1465.0, 503.0, 503.0, 197.0, 197.0, 157.0, 134.4, 134.4, 134.4, 21.0, 21.0, 46.0, 46.0, 46.0, 7.0, 7.0, 7.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 52.0, 77.0, 52.0, 50.0, 266.0, 201.0, 201.0, 42.0, 6.0, 6.0, 6.0, 31.0, 476.0, 476.0, 912.0, 912.0, 341.0, 341.0, 67.0, 67.0, 95.0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126.0, 126.0, 126.0, 39.0, 39.0, 132.0, 344.0, 344.0, 492.0, 492.0, 1470.8, 1470.8, 247.0, 103.0, 114.0, 134.4, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 2.0, 2.0, 2.0, 11.0, 11.0, 11.0, 1.0, 1.0, 1.0, 1.0, 52.0, 52.0, 52.0, 12.0, 10.0, 10.0, 10.0, 10.0, 10.0, 56.0, 56.0, 56.0, 56.0, 17.0, 17.0, 912.0, 341.0, 341.0, 67.0, 67.0, 95.0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155.0, 0, 0, 81.0, 81.0, 126.0, 126.0, 39.0, 156.0, 156.0, 132.0, 132.0, 344.0, 44.0, 44.0, 64.0, 106.0, 106.0, 247.0, 103.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 52.0, 52.0, 7.0, 7.0, 12.0, 10.0, 2.0, 2.0, 2.0, 10.0, 56.0, 56.0, 56.0, 56.0, 17.0, 24.0, 24.0, 24.0, 24.0, 24.0, 7.0, 7.0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155.0, 155.0, 155.0, 81.0, 103.3, 110.0, 110.0, 156.0, 156.0, 70.0, 70.0, 12.0, 12.0, 24.0, 24.0, 24.0, 1.0, 106.0, 247.0, 103.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 52.0, 7.0, 7.0, 7.0, 0.8, 0.8, 1.0, 1.0, 1.0, 10.0, 56.0, 56.0, 56.0, 17.0, 17.0, 21.1, 21.1, 24.0, 7.0, 7.0, 7.0, 7.0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155.0, 155.0, 103.3, 103.3, 103.3, 91.0, 91.0, 110.0, 156.0, 156.0, 156.0, 70.0, 70.0, 12.0, 24.0, 4.0, 4.0, 66.0, 26.0, 15.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 5.0, 5.0, 103.0, 103.0, 103.0, 33.0, 33.0, 33.0, 21.1, 21.1, 7.0, 7.0, 7.0, 7.0, 0, 0]"
