List
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 54, 54, 54, 0, 0, 52, 53, 53, 53, 53, 53, 53, 51, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 50, 45, 47, 47, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 56, 56, 56, 56, 54, 54, 54, 52, 54, 54, 49, 49, 51, 51, 51, 51, 51, 51, 51, 51, 49, 51, 51, 51, 51, 49, 49, 50, 50, 50, 50, 50, 50, 50, 45, 47, 47, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 57, 57, 57, 57, 56, 56, 52, 55, 52, 52, 49, 49, 49, 49, 50, 50, 50, 51, 51, 51, 49, 49, 49, 48, 48, 49, 49, 50, 50, 50, 49, 49, 47, 50, 50, 0, 45, 47, 0, 0, 0, 0, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 57, 0, 0, 60, 60, 57, 61, 61, 60, 58, 58, 58, 55, 55, 55, 49, 49, 49, 50, 50, 50, 50, 51, 51, 49, 49, 49, 48, 48, 49, 48, 48, 51, 51, 49, 49, 47, 47, 47, 0, 0, 0, 0, 46, 46, 44, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 59, 0, 58, 58, 59, 60, 61, 61, 62, 62, 63, 60, 60, 60, 58, 58, 55, 55, 55, 49, 49, 49, 44, 44, 44, 44, 44, 44, 44, 43, 49, 43, 48, 49, 48, 48, 45, 45, 45, 45, 47, 47, 47, 47, 47, 46, 46, 46, 46, 44, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 59, 59, 59, 59, 62, 62, 62, 62, 62, 62, 62, 53, 51, 60, 60, 47, 47, 47, 46, 46, 46, 46, 46, 46, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43, 46, 47, 47, 47, 47, 47, 45, 45, 45, 45, 44, 44, 47, 46, 46, 46, 46, 44, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 59, 59, 59, 59, 59, 55, 55, 62, 62, 62, 58, 58, 57, 53, 53, 53, 51, 46, 47, 47, 46, 46, 46, 46, 46, 46, 46, 44, 44, 44, 44, 44, 44, 43, 43, 45, 45, 46, 47, 48, 48, 48, 47, 45, 45, 45, 45, 44, 42, 42, 42, 42, 42, 42, 42, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 58, 58, 59, 61, 64, 64, 55, 55, 56, 56, 54, 54, 49, 49, 49, 43, 53, 53, 51, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 44, 44, 44, 44, 44, 44, 43, 45, 45, 45, 46, 46, 49, 49, 49, 47, 45, 45, 45, 44, 44, 46, 46, 42, 42, 42, 42, 42, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 58, 61, 61, 61, 53, 53, 64, 55, 55, 55, 56, 56, 54, 49, 43, 43, 48, 50, 50, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 44, 44, 45, 45, 45, 45, 45, 43, 43, 43, 43, 48, 48, 48, 48, 50, 50, 50, 49, 49, 49, 46, 46, 42, 42, 42, 42, 0, 0]"
