,thresholds,agreements
0,28106.0,0.15944435984295588
1,28707.826666666668,0.15898552036884375
2,29309.653333333335,0.15500348200755604
3,29911.480000000003,0.15746550138474988
4,30513.30666666667,0.15975676963304916
5,31115.13333333334,0.16167722045320704
6,31716.960000000006,0.16167722045320704
7,32318.786666666674,0.14351969924962793
8,32920.61333333334,0.14181562322804073
9,33522.44000000001,0.10924299844815043
10,34124.26666666668,0.11115251443168432
11,34726.093333333345,0.11302350187260166
12,35327.92000000001,0.11866850092346357
13,35929.74666666668,0.12042310075813009
14,36531.57333333335,0.12370859753709916
15,37133.400000000016,0.12314249973482293
16,37735.226666666684,0.12459837700114297
17,38337.05333333335,0.11826903335705853
18,38938.88000000002,0.11102788014881058
19,39540.70666666669,0.11108739039602585
20,40142.533333333355,0.11269976837815168
21,40744.36000000002,0.1168681539656736
22,41346.18666666669,0.08943563104973867
23,41948.01333333336,0.09799102422091845
24,42549.840000000026,0.1035201092961375
25,43151.66666666669,0.1045625854886295
26,43753.49333333336,0.0939767700560892
27,44355.32000000003,0.09561587638664194
28,44957.1466666667,0.09929093902317969
29,45558.973333333364,0.09940455690720851
30,46160.80000000003,0.09497412440968417
31,46762.6266666667,0.08954966311907371
32,47364.45333333337,0.08032444389336638
33,47966.280000000035,0.08034133954381135
34,48568.1066666667,0.08066300208301357
35,49169.93333333337,0.08328457363559287
36,49771.76000000004,0.08056748906654099
37,50373.586666666706,0.08686138015950944
38,50975.413333333374,0.08897683218376631
39,51577.24000000004,0.09728475844537708
40,52179.06666666671,0.1016114199763825
41,52780.89333333338,0.1060659364006024
42,53382.720000000045,0.11365826364660146
43,53984.54666666671,0.11004867122113254
44,54586.37333333338,0.006074423494393882
45,55188.20000000005,0.006111978443515101
46,55790.026666666716,0.003160005555258853
47,56391.85333333338,0.003202901420070364
48,56993.68000000005,0.003333902794857103
49,57595.50666666672,0.00337982711717438
50,58197.33333333339,0.0034101051416355966
51,58799.160000000054,0.0034908196008623014
52,59400.98666666672,0.003555254487612501
53,60002.81333333339,0.0036013722610241474
54,60604.64000000006,0.0036013722610241474
55,61206.466666666725,0.0036965664107531247
56,61808.29333333339,0.0037241386789347037
57,62410.12000000006,0.00403451800454171
58,63011.94666666673,0.004060465838877564
59,63613.773333333396,0.00409489846667268
60,64215.600000000064,0.0041122465656468505
61,64817.42666666673,0.0
62,65419.2533333334,0.0
63,66021.08000000006,0.0
64,66622.90666666672,0.0
65,67224.73333333338,0.0
66,67826.56000000004,0.0
67,68428.3866666667,0.0
68,69030.21333333336,0.0
69,69632.04000000002,0.0
70,70233.86666666668,0.0
71,70835.69333333334,0.0
72,71437.52,0.0
73,72039.34666666666,0.0
74,72641.17333333332,0.0
75,73242.99999999999,0.0
76,73844.82666666665,0.0
77,74446.6533333333,0.0
78,75048.47999999997,0.0
79,75650.30666666663,0.0
80,76252.13333333329,0.0
81,76853.95999999995,0.0
82,77455.78666666661,0.0
83,78057.61333333327,0.0
84,78659.43999999993,0.0
85,79261.26666666659,0.0
86,79863.09333333325,0.0
87,80464.91999999991,0.0
88,81066.74666666657,0.0
89,81668.57333333323,0.0
90,82270.39999999989,0.0
91,82872.22666666655,0.0
92,83474.05333333321,0.0
93,84075.87999999987,0.0
94,84677.70666666653,0.0
95,85279.5333333332,0.0
96,85881.35999999986,0.0
97,86483.18666666652,0.0
98,87085.01333333318,0.0
99,87686.83999999984,0.0
100,88288.6666666665,0.0
101,88890.49333333316,0.0
102,89492.31999999982,0.0
103,90094.14666666648,0.0
104,90695.97333333314,0.0
105,91297.7999999998,0.0
106,91899.62666666646,0.0
107,92501.45333333312,0.0
108,93103.27999999978,0.0
109,93705.10666666644,0.0
110,94306.9333333331,0.0
111,94908.75999999976,0.0
112,95510.58666666642,0.0
113,96112.41333333308,0.0
114,96714.23999999974,0.0
115,97316.0666666664,0.0
116,97917.89333333306,0.0
117,98519.71999999972,0.0
118,99121.54666666639,0.0
119,99723.37333333305,0.0
120,100325.1999999997,0.0
121,100927.02666666637,0.0
122,101528.85333333303,0.0
123,102130.67999999969,0.0
124,102732.50666666635,0.0
125,103334.33333333301,0.0
126,103936.15999999967,0.0
127,104537.98666666633,0.0
128,105139.81333333299,0.0
129,105741.63999999965,0.0
130,106343.46666666631,0.0
131,106945.29333333297,0.0
132,107547.11999999963,0.0
133,108148.94666666629,0.0
134,108750.77333333295,0.0
135,109352.59999999961,0.0
136,109954.42666666627,0.0
137,110556.25333333293,0.0
138,111158.0799999996,0.0
139,111759.90666666625,0.0
140,112361.73333333292,0.0
141,112963.55999999958,0.0
142,113565.38666666624,0.0
143,114167.2133333329,0.0
144,114769.03999999956,0.0
145,115370.86666666622,0.0
146,115972.69333333288,0.0
147,116574.51999999954,0.0
148,117176.3466666662,0.0
149,117778.17333333286,0.0
